dataset_name,split,test_mrr
unmet_v11_label_background,third_split,0.4844000041484833
unmet_v15_label_relation,third_split,0.4746667146682739
unmet_v15_label_background,third_split,0.6057333946228027
unmet_v11_label_only,third_split,0.6518000960350037
unmet_v15_label_only,third_split,0.6662667393684387
unmet_v11_label_relation,third_split,0.5774000287055969
unmet_v11_label_only,second_split,0.5258000493049622
unmet_v15_label_only,second_split,0.57586669921875
unmet_v15_label_background,second_split,0.5357333421707153
unmet_v15_label_relation,second_split,0.5330666899681091
unmet_v11_label_relation,second_split,0.6000666618347168
unmet_v11_label_background,second_split,0.5756000876426697
unmet_v15_label_relation,first_split,0.59006667137146
unmet_v15_label_only,first_split,0.6078667044639587
unmet_v11_label_relation,first_split,0.6598000526428223
unmet_v11_label_only,first_split,0.5206667184829712
unmet_v11_label_background,first_split,0.5302000641822815
unmet_v15_label_background,first_split,0.5205333232879639
